"Laboratory Name","Lab Id","User Name",Mobile,Email,State,District,Disciplines,"Certificate No","Date of Issue","Date of Expiry",Address,"Pin Code"
"GOVERNMENT PRIMARY HEALTH CENTRE - BMUTLUR
",M(EL)T-02748,NABLBCL005661,6374700307,phcbmutlur@gmail.com,"Tamil Nadu",CUDDALORE,"Clinical Biochemistry",NABL-M(EL)T-01322,"2023-10-23 00:00:00","26-10-23 00:00:00","Puduchatram  Block, Cuddalore District, Tamil Nadu - 608501, India
",608501
"GOVERNMENT PRIMARY HEALTH CENTRE - THEPPAKADU
",M(EL)T-02243,NABLBCL006731,7559808105,bindhunandan78@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01323,"2023-10-23 00:00:00","26-10-23 00:00:00","Gudalur Block, The Nilgiris, Tamil Nadu-643223, India
",643212
"GOVERNMENT PRIMARY HEALTH CENTRE - T CHOLANKURICHI

",M(EL)T-02023,NABLBCL005863,9965462283,tnphccholankurichi2023@gmail.com,"Tamil Nadu",Ariyalur,"Clinical Biochemistry",NABL-M(EL)T-01324,"2023-10-23 00:00:00","26-10-23 00:00:00","Meensurity Block, Ariyalur District, Tamil Nadu - 621804, India

",621804
"GOVERNMENT PRIMARY HEALTH CENTRE - AMBALAMOOLA
",M(EL)T-02007,NABLBCL005757,7598523946,sarithaasaritha212@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01325,"2023-10-23 00:00:00","26-10-23 00:00:00","Gudalur Block, The Nilgiris, Tamil Nadu-643240, India
",643240
"GOVERNMENT PRIMARY HEALTH CENTRE - SHOLUR
",M(EL)T-01854,NABLBCL006066,6381728446,kamarajooty@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01326,"2023-10-23 00:00:00","26-10-23 00:00:00","Ooty Block, The Nilgiris, Tamil Nadu-643005, India
",643005
"GOVERNMENT PRIMARY HEALTH CENTRE - PERIYAKAYAPAKKAM
",M(EL)T-01858,NABLBCL005925,9382742601,phcpkpakkam@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01327,"2023-10-23 00:00:00","26-10-23 00:00:00","Chunampet Block, Chengalpet District, Tamil Nadu - 603314, India
","603 310"
"GOVERNMENT PRIMARY HEALTH CENTRE - POONDI 
",M(EL)T-01589,NABLBCL004777,8870942055,gphcpoondi@gmail.com,"Tamil Nadu",THANJAVUR,"Clinical Biochemistry",NABL-M(EL)T-01328,"2023-10-23 00:00:00","26-10-23 00:00:00","Ammapettai Block, Thanjavur District, Tamil Nadu - 613502, India
",613105
"GOVERNMENT PRIMARY HEALTH CENTRE - MADIYANOOR
",M(EL)T-01835,NABLBCL004934,9962261397,madianurphc@yahoo.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01329,"2023-10-23 00:00:00","26-10-23 00:00:00","Keelapavoor Block, Tenkasi District, Tamil Nadu - 627415, India
",627808
"GOVERNMENT PRIMARY HEALTH CENTRE - KOVILUR 
",M(EL)T-01419,NABLBCL005033,8015262430,kovilurphc@gmail.com,"Tamil Nadu",TIRUVANNAMALAI,"Clinical Biochemistry",NABL-M(EL)T-01330,"2023-10-23 00:00:00","26-10-23 00:00:00","Akkur Block, Thiruvannamalai District, Tamil Nadu - 604404, India
",604404
"GOVERNMENT PRIMARY HEALTH CENTRE - GOODAMALAI
",M(EL)T-02335,NABLBCL006808,6369209715,mrosy10485@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01331,"2023-10-23 00:00:00","26-10-23 00:00:00","Gangavalli Block, Salem District, Tamil Nadu - 636105, India
",636105
"GOVERNMENT PRIMARY HEALTH CENTRE - KOMBURANKADU
",M(EL)T-02347,NABLBCL006789,9597202220,bhuvanajali2983@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01332,"2023-10-23 00:00:00","26-10-23 00:00:00","Nangavalli Block, Salem District, Tamil Nadu - 636404, India
",636404
"GOVERNMENT PRIMARY HEALTH CENTRE - KOTTAMPATTI
",M(EL)T-02003,NABLBCL005502,9943340237,kottampattigphc@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-01333,"2023-10-23 00:00:00","26-10-23 00:00:00","Kottampatti Block, Madurai District, Tamil Nadu - 625103, India
",625103
"GOVERNMENT PRIMARY HEALTH CENTRE - SAMUDRAM
",M(EL)T-02322,NABLBCL006800,8012533388,samudram.tnphc@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01334,"2023-10-23 00:00:00","26-10-23 00:00:00","Konganapuram Block, Salem District, Tamil Nadu - 636306, India
",636306
"GOVERNMENT PRIMARY HEALTH CENTRE - SENDARAPATTI
",M(EL)T-02285,NABLBCL006782,7010429609,kavinkarthick181@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01335,"2023-10-23 00:00:00","26-10-23 00:00:00","Gangavalli Block, Salem District, Tamil Nadu - 636110, India
",636110
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - THIRUPPARANKUNDRAM
",M(EL)T-01991,NABLBCL005639,9894662407,thiruparankundramuphc@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-01336,"2023-10-23 00:00:00","26-10-23 00:00:00","Madurai Corporation, Madurai District, Tamil Nadu - 625005, India
",625005
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - NANGAVALLI
",M(EL)T-02264,NABLBCL006772,9345268809,jayammalm4@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01337,"2023-10-23 00:00:00","26-10-23 00:00:00","Nangavalli Block, Salem District, Tamil Nadu - 636454, India
",636454
"GOVERNMENT PRIMARY HEALTH CENTRE - KALLANKURICHY
",M(EL)T-01974,NABLBCL006242,8012502585,kallankurichiphc@gmail.com,"Tamil Nadu",Ariyalur,"Clinical Biochemistry",NABL-M(EL)T-01338,"2023-10-23 00:00:00","26-10-23 00:00:00","Kadugur Block, Ariyalur District, Tamil Nadu - 621705, India
",621704
"GOVERNMENT PRIMARY HEALTH CENTRE - SATHANGUDI
",M(EL)T-02035,NABLBCL005113,9597373043,jsysathangudiphc2015@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-01339,"2023-10-23 00:00:00","26-10-23 00:00:00","Thirumangalam Block, Madurai District, Tamil Nadu - 625706, India
",625706
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - VADUGAPATTI
",M(EL)T-02235,NABLBCL006741,9003363919,menakagogul@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01340,"2023-10-23 00:00:00","26-10-23 00:00:00","Vadugapatty Block, Salem District, Tamil Nadu - 636301, India
",637301
"GOVERNMENT PRIMARY HEALTH CENTRE - POLAMBAKKAM
",M(EL)T-01956,NABLBCL006006,9884079285,phcpolambakkam@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01341,"2023-10-23 00:00:00","26-10-23 00:00:00","Chunampet Block, Chengalpet District, Tamil Nadu - 603309, India
",603309
"GOVERNMENT PRIMARY HEALTH CENTRE - THEDAVUR
",M(EL)T-02130,NABLBCL006745,9488984296,phcthedavur@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01342,"2023-10-23 00:00:00","26-10-23 00:00:00","Gangavalli Block, Salem District, Tamil Nadu - 636116, India
",636116
"GOVERNMENT PRIMARY HEALTH CENTRE - KOOKALTHORAI
",M(EL)T-02232,NABLBCL005954,9655025576,kalaithamika@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01343,"2023-10-23 00:00:00","26-10-23 00:00:00","Ooty Block, The Nilgiris, Tamil Nadu-643217, India
",643217
"GOVERNMENT PRIMARY HEALTH CENTRE - CHENNASAMUDRAM
",M(EL)T-01530,NABLBCL006262,9585421298,chennasamuthramphc123@gmail.com,"Tamil Nadu",TIRUVANNAMALAI,"Clinical Biochemistry",NABL-M(EL)T-01344,"2023-10-23 00:00:00","26-10-23 00:00:00","Melpallipattu Block, Thiruvannamalai District, Tamil Nadu - 606701, India
",606701
"GOVERNMENT UPGRADED PRIMARY HEALTH CENTRE - EDAIKAZHINADU
",M(EL)T-02226,NABLBCL005505,9865537626,kalyanstls@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01345,"2023-10-23 00:00:00","26-10-23 00:00:00","Chunampet Block, Chengalpet District, Tamil Nadu - 603304, India
",603304
"GOVERNMENT PRIMARY HEALTH CENTRE - KOOVATHUR
",M(EL)T-02218,NABLBCL006663,8072228671,kuvathurphc@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01346,"2023-10-23 00:00:00","26-10-23 00:00:00","Lathur Block, Chengalpet District, Tamil Nadu - 603305, India

",603305
"GOVERNMENT PRIMARY HEALTH CENTRE - KAITHARINAGAR
",M(EL)T-02168,NABLBCL005957,9786470032,gphcnilaiyur@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-01347,"2023-10-23 00:00:00","26-10-23 00:00:00","Thirupparankundram  Block, Madurai District, Tamil Nadu - 625005, India
",625005
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - AVANIYAPURAM
",M(EL)T-02530,NABLBCL005243,7373097473,avaniyapuramuphc2012@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-01348,"2023-10-23 00:00:00","26-10-23 00:00:00","Madurai Corporation, Madurai District, Tamil Nadu - 625012, India
",625012
"GOVERNMENT PRIMARY HEALTH CENTRE - KEELACHEKKARAKUDI
",M(EL)T-02478,NABLBCL006857,9894907504,tutkckudi.tnphc1@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-01349,"2023-10-23 00:00:00","26-10-23 00:00:00","Karungulam Block, Tuticorin District, Tamil Nadu - 628104, India
",628104
"GOVERNMENT PRIMARY HEALTH CENTRE - KARUPPUR
",M(EL)T-01990,NABLBCL005211,9952692664,gomskani@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01350,"2023-10-23 00:00:00","26-10-23 00:00:00","Omalur Block, Salem District, Tamil Nadu - 636012, India
",636012
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - NELLAKOTTAI
",M(EL)T-02174,NABLBCL006144,9443897543,vpabdulnazar@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01351,"2023-10-23 00:00:00","26-10-23 00:00:00","Gudalur Block, The Nilgiris, Tamil Nadu-643240, India
",643225
"GOVERNMENT PRIMARY HEALTH CENTRE - KOLACOMBAI
",M(EL)T-01908,NABLBCL004830,9976384829,kolacombaiphc@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01352,"2023-10-23 00:00:00","26-10-23 00:00:00","Coonoor Block, The Nilgiris, Tamil Nadu-643218, India
",643218
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - THINDAL
",M(EL)T-01949,NABLBCL004608,9944853485,gphcthindal7037@gmail.com,"Tamil Nadu",ERODE,"Clinical Biochemistry",NABL-M(EL)T-01353,"2023-10-23 00:00:00","26-10-23 00:00:00","Erode Corporation, Erode District, Tamil Nadu - 638012, India
",638012
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - NETHAJI ROAD
",M(EL)T-01960,NABLBCL004233,9942820754,nrphc2017@gmail.com,"Tamil Nadu",ERODE,"Clinical Biochemistry",NABL-M(EL)T-01354,"2023-10-23 00:00:00","26-10-23 00:00:00","Erode Corporation, Erode District, Tamil Nadu - 638001, India
",638001
"GOVERNMENT PRIMARY HEALTH CENTRE - VEPPALODAI
",M(EL)T-02068,NABLBCL004392,9791474125,phcveppalodai@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-01355,"2023-10-23 00:00:00","26-10-23 00:00:00","Ottapidaram Block, Tuticorin District, Tamil Nadu - 628903, India
",628903
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - VEERAPPANCHATRAM
",M(EL)T-02122,NABLBCL004601,9942018276,uphcvchatram@gmail.com,"Tamil Nadu",ERODE,"Clinical Biochemistry",NABL-M(EL)T-01356,"2023-10-23 00:00:00","26-10-23 00:00:00","Erode Corporation, Erode District, Tamil Nadu - 638102, India
",638102
"GOVERNMENT PRIMARY HEALTH CENTRE - VANNIKONENDAL 
",M(EL)T-02175,NABLBCL003825,8012341799,elsiranik@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01357,"2023-10-23 00:00:00","26-10-23 00:00:00","Manur Block, Tirunelveli District, Tamil Nadu - 627951, India
",627201
"GOVERNMENT PRIMARY HEALTH CENTRE - THIRUVENKADANATHAPURAM
",M(EL)T-02190,NABLBCL003843,7708260434,jenishajosephraj@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01358,"2023-10-23 00:00:00","26-10-23 00:00:00","MunanjiPatti Block, Tirunelveli District, Tamil Nadu - 627103, India
",627103
"GOVERNMENT PRIMARY HEALTH CENTRE - ORAPPAM
",M(EL)T-02583,NABLBCL004529,6380257769,orappam2013@gmail.com,"Tamil Nadu",KRISHNAGIRI,"Clinical Biochemistry",NABL-M(EL)T-01359,"2023-10-23 00:00:00","26-10-23 00:00:00","Bargur Block, Krishnagiri District, Tamil Nadu - 635108, India
",635108
"GOVERNMENT PRIMARY HEALTH CENTRE - AVALUR
",M(EL)T-01827,NABLBCL004986,9976870380,phcavalur@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01360,"2023-10-23 00:00:00","26-10-23 00:00:00","Thiruppukuzhi Block, Kancheepuram District, Tamil Nadu - 631605, India
",631605
"GOVERNMENT PRIMARY HEALTH  CENTRE - RAJAMADAM 
",M(EL)T-01814,NABLBCL004460,7094551230,phcrajamadam2018@gmail.com,"Tamil Nadu",THANJAVUR,"Clinical Biochemistry",NABL-M(EL)T-01361,"2023-10-23 00:00:00","26-10-23 00:00:00","Pattukottai Block, Thanjavur District, Tamil Nadu - 614701, India
",614701
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - UKKIRANKOTTAI
",M(EL)T-01780,NABLBCL003817,9095739905,justalmarygilda@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01362,"2023-10-23 00:00:00","26-10-23 00:00:00","Manur Block, Tirunelveli District, Tamil Nadu - 627202, India
",627202
"GOVERNMENT PRIMARY HEALTH CENTRE - DHADHAPURAM
",M(EL)T-02275,NABLBCL006776,9786448805,tnphcdhadhapuram@gmail.com,"Tamil Nadu",SALEM,"Clinical Biochemistry",NABL-M(EL)T-01363,"2023-10-23 00:00:00","26-10-23 00:00:00","Edapadi Block, Salem District, Tamil Nadu - 637105, India
",637105
"GOVERNMENT PRIMARY HEALTH CENTRE - KOORAM
",M(EL)T-02569,NABLBCL005970,9380594515,phckooram1@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01364,"2023-10-23 00:00:00","26-10-23 00:00:00","Thiruppukuzhi Block, Kancheepuram District, Tamil Nadu - 631552, India
",631502
"GOVERNMENT PRIMARY HEALTH CENTRE - SOMAIYAMPALAYAM
",M(EL)T-01456,NABLBCL005719,9597944231,natchunilu@gmail.com,"Tamil Nadu",COIMBATORE,"Clinical Biochemistry",NABL-M(EL)T-01365,"2023-10-23 00:00:00","26-10-23 00:00:00","PN Palayam Block, Coimbatore District, Tamil Nadu - 641108, India
",641108
"GOVERNMENT PRIMARY HEALTH CENTRE - MELUR HOSATTY
",M(EL)T-01451,NABLBCL005884,9843681105,phcmelurhosatty@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01366,"2023-10-23 00:00:00","26-10-23 00:00:00","Coonoor Block, The Nilgiris, Tamil Nadu-643221, India
",643221
"GOVERNMENT PRIMARY HEALTH CENTRE - SEMMEDU 
",M(EL)T-01541,NABLBCL006269,9566657457,semmeduphc@gmail.com,"Tamil Nadu",COIMBATORE,"Clinical Biochemistry",NABL-M(EL)T-01367,"2023-10-23 00:00:00","26-10-23 00:00:00","Thondamuthur Block, Coimbatore District, Tamil Nadu - 641114, India
",641114
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - PETTAI
",M(EL)T-01575,NABLBCL006285,7358129579,uhppettai@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01368,"2023-10-23 00:00:00","26-10-23 00:00:00","Tirunelveli Corporation, Tirunelveli District, Tamil Nadu - 627004, India
",627004
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - AMBASAMUDRAM
",M(EL)T-01636,NABLBCL006334,8870059857,uphcambai@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01369,"2023-10-23 00:00:00","26-10-23 00:00:00","Ambasamudram Block, Tirunelveli District, Tamil Nadu - 627401, India
",627401
"GOVERNMENT PRIMARY HEALTH CENTRE - VADAKKUPAPPANKULAM
",M(EL)T-01848,NABLBCL006452,7358122408,additionalphcpappankulam@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01370,"2023-10-23 00:00:00","26-10-23 00:00:00","Kadayam Block, Tenkasi District, Tamil Nadu - 627415, India
",627143
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - CUMBUM
",M(EL)T-02668,NABLBCL006590,6381617499,Sp580945@gmail.com,"Tamil Nadu",THENI,"Clinical Biochemistry",NABL-M(EL)T-01371,"2023-10-23 00:00:00","26-10-23 00:00:00","Gudalur Block, Theni District, Tamil Nadu - 625516, India
",625516
"GOVERNMENT PRIMARY HEALTH CENTRE - VEERANAM
",M(EL)T-01834,NABLBCL006530,9976225357,veeranamlab@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01372,"2023-10-23 00:00:00","26-10-23 00:00:00","Nettur Block, Tenkasi District, Tamil Nadu - 627861, India
",627861
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - KETTI
",M(EL)T-01846,NABLBCL006498,8637687392,vidyababu1985@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01373,"2023-10-23 00:00:00","26-10-23 00:00:00","Coonoor Block, The Nilgiris, Tamil Nadu-643215, India
",643215
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - TENKASI
",M(EL)T-01880,NABLBCL006471,9677577228,pvijayalakshmi001@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01374,"2023-10-23 00:00:00","26-10-23 00:00:00","Vadakarai Kilpidagai Block, Tenkasi District, Tamil Nadu - 627811, India
",627811
"GOVERNMENT PRIMARY HEALTH CENTRE - KAMAYAGOUNDANPATTI
",M(EL)T-02670,NABLBCL006572,9629775581,satheshkumar.sri@gmail.com,"Tamil Nadu",THENI,"Clinical Biochemistry",NABL-M(EL)T-01375,"2023-10-23 00:00:00","26-10-23 00:00:00","Gudalur Block, Theni District, Tamil Nadu - 625516, India
",625521
"GOVERNMENT PRIMARY HEALTH CENTRE - MANUR
",M(EL)T-01895,NABLBCL006539,8012341799,labmanur@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01376,"2023-10-23 00:00:00","26-10-23 00:00:00","Manur Block, Tirunelveli District, Tamil Nadu - 627202, India
",627201
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - ARULDOSSPURAM
",M(EL)T-02653,NABLBCL005823,9944016165,Poovizhipriyamk@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-01377,"2023-10-23 00:00:00","26-10-23 00:00:00","Madurai Corporation, Madurai District, Tamil Nadu - 625018, India
",625018
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - PALAYAMKOTTAI
",M(EL)T-01928,NABLBCL006614,7094601209,uphcpalayamkottai@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01378,"2023-10-23 00:00:00","26-10-23 00:00:00","Tirunelveli Corporation, Tirunelveli District, Tamil Nadu - 627002, India
",627002
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - MASTHANPATTI
",M(EL)T-02590,NABLBCL006117,8248570686,Masthanpattiuphc@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-01379,"2023-10-23 00:00:00","26-10-23 00:00:00","Madurai Corporation, Madurai District, Tamil Nadu - 625020, India
",625020
"GOVERNMENT PRIMARY HEALTH CENTRE - PERIYAKULAM           
",M(EL)T-01242,NABLBCL005212,9500456118,phcperiyakulam@gmail.com,"Tamil Nadu",TIRUVANNAMALAI,"Clinical Biochemistry",NABL-M(EL)T-01380,"2023-10-23 00:00:00","26-10-23 00:00:00","Karapattu Block, Thiruvannamalai District, Tamil Nadu - 606702, India
",606702
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - PILLAIYARPALAYAM
",M(EL)T-02552,NABLBCL006665,9789529098,uphcpillaiyarpalayam96@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01381,"2023-10-23 00:00:00","26-10-23 00:00:00","Thiruppukuzhi Block, Kancheepuram District, Tamil Nadu - 631501, India
",631502
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - SEMBAKKAM
",M(EL)T-01237,NABLBCL005213,9094577321,sembakkamuphc@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01382,"2023-10-23 00:00:00","26-10-23 00:00:00","St. Thomas Mount Block, Chengalpet District, Tamil Nadu - 600073, India
",600073
"GOVERNMENT PRIMARY HEALTH CENTRE - KEELPERAMANALLUR
",M(EL)T-02380,NABLBCL006167,8680811389,sampathsangitha1968@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01383,"2023-10-23 00:00:00","26-10-23 00:00:00","Thiruppukuzhi Block, Kancheepuram District, Tamil Nadu - 631502, India
",631502
"GOVERNMENT PRIMARY HEALTH CENTRE - B MEENATCHIPURAM

",M(EL)T-02318,NABLBCL005809,9952116617,deva.theivendran@gmail.com,"Tamil Nadu",THENI,"Clinical Biochemistry",NABL-M(EL)T-01384,"2023-10-23 00:00:00","26-10-23 00:00:00","Dombuchery Block, Theni District, Tamil Nadu - 625582, India
",625582
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - THADICOMBU
",M(EL)T-01144,NABLBCL005915,8825405593,vasusenthil6282@gmail.com,"Tamil Nadu",DINDIGUL,"Clinical Biochemistry",NABL-M(EL)T-01385,"2023-10-23 00:00:00","26-10-23 00:00:00","Dindigul Block, Dindigul District, Tamil Nadu - 624709, India
",624709
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - MELAVEERARAGAPURAM
",M(EL)T-02180,NABLBCL006752,6374158940,uhpmvpuram@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-01386,"2023-10-23 00:00:00","26-10-23 00:00:00","Tirunelveli Corporation, Tirunelveli District, Tamil Nadu - 627001, India
",627001
"GOVERNMENT PRIMARY HEALTH CENTRE - AYYANKLLI
",M(EL)T-02077,NABLBCL005696,7598706184,kalabala07@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01387,"2023-10-23 00:00:00","26-10-23 00:00:00","Gudalur Block, The Nilgiris, Tamil Nadu-643239, India
",643239
"GOVERNMENT PRIMARY HEALTH CENTRE - THENNERI
",M(EL)T-02299,NABLBCL005871,9444269638,selvijeeva74@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01388,"2023-10-23 00:00:00","26-10-23 00:00:00","Parandhur Block, Kancheepuram District, Tamil Nadu - 631604, India
",631604
"GOVERNMENT UPGRADED PRIMARY HEALTH CENTRE - NANDHIVARAM
",M(EL)T-02298,NABLBCL005530,9884467759,nandhivaramuphc@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01389,"2023-10-23 00:00:00","26-10-23 00:00:00","Kattankolathur Block, Chengalpet District, Tamil Nadu - 603202, India
",603202
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - SEVILIMEDU
",M(EL)T-02289,NABLBCL006069,8825410277,Mubi1485@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-01390,"2023-10-23 00:00:00","26-10-23 00:00:00","Thiruppukuzhi Block, Kancheepuram District, Tamil Nadu - 631501, India
","631501 "
"GOVERNMENT PRIMARY HEALTH CENTRE - SHOLURMATTAM
",M(EL)T-02044,NABLBCL006171,9943539033,sholurmattamphc1@gmail.com,"Tamil Nadu","THE NILGIRIS","Clinical Biochemistry",NABL-M(EL)T-01391,"2023-10-23 00:00:00","26-10-23 00:00:00","Kotagiri Block, The Nilgiris, Tamil Nadu-643201, India
",643216
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - PERIYAKULAM 
",M(EL)T-02113,NABLBCL006601,8668586244,periyakulamuphclab@gmail.com,"Tamil Nadu",THENI,"Clinical Biochemistry",NABL-M(EL)T-01392,"2023-10-23 00:00:00","26-10-23 00:00:00","Devadhanapatti Block, Theni District, Tamil Nadu - 625601, India
",625601
"GOVERNMENT PRIMARY HEALTH CENTRE - MELOLAKKUR
",M(EL)T-02059,NABLBCL005722,6369221958,thamizhselvi593@gmail.com,"Tamil Nadu",VILLUPURAM,"Clinical Biochemistry",NABL-M(EL)T-01393,"2023-10-23 00:00:00","26-10-23 00:00:00","Vallam Block, Villupuram District, Tamil Nadu - 604203, India
",604203
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - VALATHY 
",M(EL)T-02030,NABLBCL005331,9486650547,vpm-valathy.tnphc@nic.in,"Tamil Nadu",VILLUPURAM,"Clinical Biochemistry",NABL-M(EL)T-01394,"2023-10-23 00:00:00","26-10-23 00:00:00","Melmalayanur Block, Villupuram District, Tamil Nadu - 604208, India",604208
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - KANDAMANADI
",M(EL)T-02010,NABLBCL005335,9962490633,phckmanadi3@gmail.com,"Tamil Nadu",VILLUPURAM,"Clinical Biochemistry",NABL-M(EL)T-01395,"2023-10-23 00:00:00","26-10-23 00:00:00","Kandamanadi Block, Villupuram District, Tamil Nadu - 605401, India
",605401
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE  - MURUKKERI 
",M(EL)T-01968,NABLBCL006642,9444886422,sheebad728@gmail.com,"Tamil Nadu",VILLUPURAM,"Clinical Biochemistry",NABL-M(EL)T-01396,"2023-10-23 00:00:00","26-10-23 00:00:00","Marakkanam Block, Villupuram District, Tamil Nadu - 604301, India
",604301
